timestamp,motion_value,light,temp
2024-09-03 14:02:42,False,22529,19.23
2024-09-03 14:02:44,False,22529,19.23
2024-09-03 14:02:45,False,22529,19.23
2024-09-03 14:02:46,True,22529,19.23
2024-09-03 14:02:47,True,22529,19.23
2024-09-03 14:02:48,True,22529,19.23
2024-09-03 14:02:49,True,22529,19.23
2024-09-03 14:02:50,True,22529,19.23
2024-09-03 14:02:52,True,22529,19.23
2024-09-03 14:02:53,True,22529,19.23
2024-09-03 14:02:54,True,22529,19.23
2024-09-03 14:02:55,True,22529,19.23
2024-09-03 14:02:56,True,22529,19.23
2024-09-03 14:02:57,True,22529,19.23
2024-09-03 14:02:58,True,22529,19.23
2024-09-03 14:03:00,True,22529,19.23
2024-09-03 14:03:01,True,22529,19.23
2024-09-03 14:03:02,True,22529,19.23
