Temperature,CO2,Humidity,Noise,Pressure,AbsolutePressure,health_idx,timestamp
19.3,659,61,55,1023.6,1018.6,0,2024-08-15 07:24:52
19.6,700,61,54,1023.7,1018.7,0,2024-08-15 07:34:56
