timestamp,motion_value,light,temp
2024-09-02 10:56:49,False,22606,18.67
2024-09-02 10:56:50,False,22606,18.67
2024-09-02 10:56:51,False,22606,18.67
2024-09-02 10:56:53,False,22606,18.67
2024-09-02 10:56:54,False,22606,18.67
2024-09-02 10:56:55,False,22606,18.67
2024-09-02 10:56:56,False,22606,18.67
2024-09-02 10:56:57,False,22606,18.67
2024-09-02 10:56:58,False,22606,18.67
2024-09-02 10:56:59,False,22606,18.67
2024-09-02 10:57:01,False,22606,18.67
2024-09-02 10:57:02,False,22606,18.67
2024-09-02 10:57:03,False,22606,18.67
2024-09-02 10:57:04,False,22606,18.67
2024-09-02 10:57:05,False,22606,18.67
2024-09-02 10:57:06,False,22606,18.67
2024-09-02 10:57:07,False,22606,18.67
2024-09-02 10:57:08,False,22606,18.67
2024-09-02 10:57:10,False,22606,18.67
2024-09-02 10:57:11,False,22606,18.67
2024-09-02 10:57:12,False,22606,18.67
2024-09-02 10:57:13,False,22606,18.67
2024-09-02 10:57:14,False,22606,18.67
2024-09-02 10:57:16,False,22606,18.67
2024-09-02 10:57:17,False,22606,18.67
2024-09-02 10:57:18,False,22606,18.67
2024-09-02 10:57:19,False,22606,18.67
2024-09-02 10:57:20,False,22606,18.67
2024-09-02 10:57:21,False,22606,18.67
2024-09-02 10:57:23,False,22606,18.67
2024-09-02 10:57:24,False,22606,18.67
2024-09-02 10:57:25,False,22606,18.67
2024-09-02 10:57:26,True,22606,18.67
2024-09-02 10:57:27,True,22606,18.67
2024-09-02 10:57:29,True,22606,18.67
2024-09-02 10:57:30,True,22606,18.67
2024-09-02 10:57:31,True,22606,18.67
2024-09-02 10:57:32,True,22606,18.67
2024-09-02 10:57:33,True,22606,18.67
2024-09-02 10:57:35,True,22606,18.67
2024-09-02 10:57:36,True,22606,18.67
2024-09-02 10:57:37,True,22606,18.67
2024-09-02 10:57:38,True,22606,18.67
2024-09-02 10:57:39,True,22606,18.67
2024-09-02 10:57:40,True,22606,18.67
2024-09-02 10:57:41,True,22606,18.67
2024-09-02 10:57:43,True,22606,18.67
2024-09-02 10:57:44,True,22606,18.67
2024-09-02 10:57:45,True,22606,18.67
2024-09-02 10:57:46,True,22606,18.67
2024-09-02 10:57:47,True,22606,18.67
2024-09-02 10:57:48,True,22606,18.67
2024-09-02 10:57:49,True,22606,18.67
2024-09-02 10:57:51,True,22606,18.67
2024-09-02 10:57:52,True,22606,18.67
2024-09-02 10:57:53,True,22606,18.67
2024-09-02 10:57:54,True,22606,18.67
2024-09-02 10:57:55,True,22606,18.67
2024-09-02 10:57:56,True,22606,18.67
2024-09-02 10:57:57,True,22606,18.67
2024-09-02 10:57:59,True,22606,18.67
2024-09-02 10:58:00,True,22606,18.67
2024-09-02 10:58:01,True,22606,18.67
2024-09-02 10:58:02,True,22606,18.67
2024-09-02 10:58:03,True,22606,18.67
2024-09-02 10:58:04,True,22606,18.67
2024-09-02 10:58:06,True,22606,18.67
