Temperature,CO2,Humidity,Noise,Pressure,AbsolutePressure,health_idx,timestamp
20.4,695,49,54,1024.2,1019.2,0,2024-08-20 06:08:03
20.5,735,49,54,1024.1,1019.1,0,2024-08-20 06:18:10
20.6,743,49,52,1024.1,1019.1,0,2024-08-20 06:28:14
