Temperature,CO2,Humidity,Noise,Pressure,AbsolutePressure,health_idx,timestamp
19.8,532,44,52,1021.7,1016.7,0,2024-08-26 02:12:30
19.6,555,44,52,1021.7,1016.7,0,2024-08-26 02:22:35
