Temperature,CO2,Humidity,Noise,Pressure,AbsolutePressure,health_idx,min_temp,max_temp,date_max_temp,date_min_temp,timestamp
20.4,580,52,49,1037.6,1032.5,0,19.5,20.4,1723445053,1723436068,2024-08-12 06:44:13
20.5,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068,2024-08-12 06:54:22
