Temperature,CO2,Humidity,Noise,Pressure,AbsolutePressure,health_idx,min_temp,max_temp,date_max_temp,date_min_temp,timestamp
20.7,800,52,45,1037.8,1032.7,0,19.5,20.7,1723446269,1723436068,2024-08-12 07:04:29
20.8,936,52,45,1037.8,1032.7,0,19.5,20.8,1723446571,1723436068,2024-08-12 07:14:33
