timestamp,CO2,Humidity,Noise,Pressure,AbsolutePressure,health_idx,min_temp,max_temp,date_max_temp,date_min_temp
2024-08-12 16:55:55,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:55:56,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:55:57,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:55:58,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:55:59,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:56:00,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:56:01,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:56:02,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:56:03,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:56:04,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:56:05,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:56:06,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:56:07,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:56:08,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:56:09,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:56:10,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:56:11,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:56:12,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:56:13,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:56:14,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:56:15,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:56:16,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:56:17,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:56:18,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:56:19,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:56:20,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:56:21,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:56:22,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:56:23,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:56:24,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:56:25,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:56:26,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:56:27,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:56:28,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:56:29,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:56:30,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:56:31,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:56:32,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:56:33,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:56:34,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:56:35,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:56:36,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:56:37,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:56:38,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:56:39,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:56:40,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:56:41,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:56:42,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:56:43,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
2024-08-12 16:56:44,768,52,51,1037.5,1032.4,0,19.5,20.5,1723445662,1723436068
