Temperature,CO2,Humidity,Noise,Pressure,AbsolutePressure,health_idx,timestamp
19.9,571,41,53,1015.3,1010.3,0,2024-08-27 23:56:48
20,593,41,52,1015.2,1010.2,0,2024-08-28 00:06:54
